key,message,comment,context
Do not shit into irrecoverable,Ne pas passer en irrécouvrable,,resources/views/Invoice.xml:87
Domain of use,Domaine d'utilisation,,"resources/views/InterbankCodeLine.xml:22
resources/views/InterbankCode.xml:35"
Doubtful Customer Batch,Batch clients douteux,,resources/views/AccountingBatch.xml:72
Doubtful Customers,Clients douteux,,resources/views/Selects.xml:132
Doubtful customers configuration,Config. Clients douteux,,resources/views/AccountingBatch.xml:46
Doubtful receivables,Créances douteuses,,resources/views/AccountConfig.xml:83
Draft,Brouillon,,"resources/views/Invoice.xml:382
resources/views/Selects.xml:212
resources/views/Invoice.xml:133
resources/views/Invoice.xml:400
resources/views/Reconcile.xml:57
resources/views/Selects.xml:44
resources/views/Selects.xml:15
resources/views/Selects.xml:50
resources/views/Selects.xml:83
resources/views/Selects.xml:167
resources/views/Selects.xml:76"
Draft Customer payments,Paiements Clients non-validés,,resources/views/PaymentVoucher.xml:222
Draft Moves,Ecritures non-validées,,resources/views/Move.xml:167
Draft Supplier payments,Règlements Fournisseurs non-validés,,resources/views/PaymentVoucher.xml:240
Due Sale Entries,Lignes Ecritures échues,,resources/views/MoveLine.xml:159
Debit/Credit,Débit/Crédit,,resources/domains/MoveTemplateLine.xml:11
Email used by Paybox,Email utilisé par Paybox,,resources/views/PaymentVoucher.xml:206
End of month + n days,Fin de mois + n jours,,resources/views/Selects.xml:175
Enter proper 'From' and 'To' date.,Veuillez saisir correctement la date de début et de fin.,,resources/views/Year.xml:49
Equity,Capitaux,,resources/views/Selects.xml:25
"Error in move validation, please check the log.","Erreur dans la validation de l'écriture, veuillez vérifier les logs.",,java/com/axelor/apps/account/db/IMove.java:23
Events,Evènements,,resources/views/Partner.xml:156
Expense,NDF,,resources/views/Selects.xml:26
Export,Export,,resources/views/MoveLineReport.xml:107
Export direct debits,Export des prélèvements,,resources/views/Selects.xml:148
Export purchase -> Acc. Soft.,Export achat -> Logiciel comptable,,resources/views/Selects.xml:72
Export refunds -> Acc. Soft.,Export avoir -> Logiciel comptable,,resources/views/Selects.xml:70
Export reimbursements,Exporter les remboursements,,resources/views/Selects.xml:144
Export sale -> Acc. Soft.,Export vente -> Logiciel comptable,,resources/views/Selects.xml:69
Export tresury -> Acc. Soft.,Export trésorerie -> Logiciel comptable,,resources/views/Selects.xml:71
Exported moves,Écritures exportées,,"resources/views/MoveLineReport.xml:108
resources/views/Move.xml:152"
Exports,Exports,,resources/views/AccountConfig.xml:51
Filter,Filtrer,,resources/views/MoveLineReport.xml:44
Financial,Financière,,resources/views/menu.xml:389
Financial Accounts,Comptes comptables,,"resources/views/menu.xml:431
resources/views/menu.xml:428"
Financial Accounts Management,Paramétrages de compte comptable,,"resources/views/menu.xml:447
resources/views/menu.xml:450"
First name,Prénom,,resources/views/Partner.xml:40
Fiscal position,Position fiscale,,"resources/views/FiscalPosition.xml:11
resources/views/menu.xml:672"
Fiscal positions,Positions fiscales,,"resources/views/FiscalPosition.xml:6
resources/views/menu.xml:669"
Fiscal year,Année fiscale,,resources/views/Year.xml:17
Fiscal year already exist for 'From' and 'To' date.,Une année fiscale existe déjà pour la période du 'From' au 'To',,resources/views/Year.xml:50
Fiscal years,Années fiscales,,"resources/views/menu.xml:395
resources/views/menu.xml:392
resources/views/Year.xml:6"
Follow-up,Suivi,,resources/views/CashRegisterLine.xml:29
From Date,Date de,,"resources/views/charts.xml:178
resources/views/charts.xml:119
resources/views/charts.xml:58"
Full name,Nom complet,,resources/domains/MoveTemplate.xml:16
General,Général,,resources/views/Selects.xml:206
General ledger,Grand livre,,resources/views/Selects.xml:58
Generate Moves,Générer les Ecritures,,resources/views/MoveTemplate.xml:64
Generate irrecoverable report,Générer le report irrécouvrable,,resources/views/Irrecoverable.xml:26
Generate move from template,Générer les Ecritures à partir du modèle,,"resources/views/MoveTemplate.xml:45
resources/views/menu.xml:848
resources/views/menu.xml:845"
Generate periods,Générer les périodes,,resources/views/Year.xml:29
Generate refund,Générer un avoir,,resources/views/Invoice.xml:75
Generate reimbursements,Générer les remboursements,,resources/views/Selects.xml:143
Gestion de compte comptable,Gestion de compte comptable,,"resources/views/AccountManagement.xml:48
resources/views/AccountManagement.xml:71"
Get invoices and schedule lines to set as irrecoverable,Récupérer les factures et échéances à passer en irrécouvrable,,resources/views/Irrecoverable.xml:21
Get overdue payments,Récupérer les trop perçus,,resources/views/AccountClearance.xml:27
Header,Entête,,"resources/views/Irrecoverable.xml:15
resources/views/ChequeRejection.xml:20
resources/views/Reimbursement.xml:15"
Historical Period,Historique,,"resources/views/charts.xml:543
resources/views/charts.xml:716
resources/views/charts.xml:511
resources/views/charts.xml:647
resources/views/charts.xml:367
resources/views/charts.xml:824
resources/views/charts.xml:410
resources/views/charts.xml:681
resources/views/charts.xml:120
resources/views/charts.xml:614
resources/views/charts.xml:59
resources/views/charts.xml:577
resources/views/charts.xml:439
resources/views/charts.xml:912"
History,Historique,,resources/views/Partner.xml:142
IBAN,,,resources/views/BankDetails.xml:35
IBAN (International Bank Account Identifier),,,resources/views/BankDetails.xml:36
IBAN + BIC,,,resources/views/BankDetails.xml:42
IPO,TIP,,resources/views/Selects.xml:191
IPO + Cheque,TIP + Chèque,,resources/views/Selects.xml:192
IPO Payments and IPO Cheque,Paiement par TIP et TIP chèque,,resources/views/AccountConfig.xml:110
Immobilisation,Immobilisation,,resources/views/Selects.xml:27
Import a chart,Importer un plan de compte,,resources/views/AccountConfig.xml:22
Import direct debit rejects,Import des rejets de prélèvements,,resources/views/Selects.xml:149
Import payment rejects by IPO and IPO cheque,Import des rejets de paiement par TIP et TIP chèque,,resources/views/Selects.xml:158
Import payments by IPO and IPO cheque,Import des paiements par TIP et TIP chèque,,resources/views/Selects.xml:157
In,Reçu,,resources/views/Selects.xml:201
In alarm,En alarme,,resources/views/Selects.xml:170
Income,Produits,,resources/views/Selects.xml:28
Information,Information,,resources/views/AccountingBatch.xml:61
Informations,Informations,,"resources/views/InvoiceLine.xml:20
resources/views/MoveLine.xml:31
resources/views/Move.xml:53
resources/views/MoveLine.xml:78
resources/views/Partner.xml:50
resources/views/InvoiceBatch.xml:37
resources/views/Move.xml:26"
Interbank Payment Order Batch,Batchs d'Ordre de Paiement interbancaires,,resources/views/AccountingBatch.xml:71
Invoice,Facture,,"resources/views/menu.xml:9
resources/views/Invoice.xml:173
resources/views/IrrecoverableInvoiceLine.xml:9
resources/views/menu.xml:740
resources/views/Invoice.xml:31
resources/views/charts.xml:26"
Invoice Dashboard,Tableau de bord Facturation,,"resources/views/portal.xml:36
resources/views/portal.xml:49
resources/views/portal.xml:53
resources/views/portal.xml:65
resources/views/portal.xml:8"
Invoice Db,Tb Factures,,"resources/views/menu.xml:779
resources/views/menu.xml:776"
Invoice Purchase Payment Condition distribution,Répartition conditions de paiement à l'achat (facture),,"resources/views/portal.xml:190
resources/views/charts.xml:679"
Invoice Purchase by currency (tax excl.),Montant achats HT par devise,,"resources/views/portal.xml:184
resources/views/charts.xml:645"
Invoice Purchase by month (tax excl.),Montant achats HT par mois,,"resources/views/portal.xml:178
resources/views/charts.xml:612"
Invoice Purchase situation (tax incl.),Situation factures d'achat (HT),,"resources/views/portal.xml:208
resources/views/charts.xml:909"
Invoice Sale Payment Condition distribution,Répartition conditions de paiement à la vente (factures),,"resources/views/charts.xml:575
resources/views/portal.xml:172"
Invoice Sale by currency (tax excl.),CA HT par devise (factures),,"resources/views/portal.xml:166
resources/views/charts.xml:541"
Invoice Sale by month (tax excl.),CA HT par mois (factures),,"resources/views/portal.xml:160
resources/views/charts.xml:509"
Invoice Sale situation (tax incl.),Situation factures de vente HT,,"resources/views/charts.xml:821
resources/views/portal.xml:202"
Invoice and Refunds Sale situation (tax incl.),Situation factures & avoirs HT,,"resources/views/charts.xml:713
resources/views/portal.xml:196"
Invoice batch,Batch de facturation,,resources/views/InvoiceBatch.xml:18
Invoice batches,Batchs de facturation,,resources/views/InvoiceBatch.xml:6
Invoice content,Contenu de la facture,,"resources/views/Invoice.xml:191
resources/views/Invoice.xml:64"
Invoice line,Ligne de facture,,"resources/views/InvoiceLineEvent.xml:19
resources/views/InvoiceLine.xml:18
resources/views/InvoiceLine.xml:57"
Invoice lines,Lignes de facture,,"resources/views/InvoiceLine.xml:46
resources/views/InvoiceLine.xml:6
resources/views/InvoiceLineEvent.xml:6"
Invoice.bankDetails,Coordonnées bancaires,,java/com/axelor/apps/account/report/ITranslation.java:40
Invoice.bankingInfo,Informations bancaires,,java/com/axelor/apps/account/report/ITranslation.java:41
Invoice.base,Assiette,,java/com/axelor/apps/account/report/ITranslation.java:33
Invoice.cheque,Chèque,,java/com/axelor/apps/account/report/ITranslation.java:39
Invoice.clientRef,Réf. Client,,java/com/axelor/apps/account/report/ITranslation.java:42
Invoice.date,Date facture,,java/com/axelor/apps/account/report/ITranslation.java:23
Invoice.documentRef,Document de référence,,java/com/axelor/apps/account/report/ITranslation.java:26
Invoice.dueDate,Date d'échéance ,,java/com/axelor/apps/account/report/ITranslation.java:25
Invoice.invoiceNo,FACTURE N°,,java/com/axelor/apps/account/report/ITranslation.java:46
Invoice.note,Remarques,,java/com/axelor/apps/account/report/ITranslation.java:38
Invoice.paymentTerms,Conditions de paiement,,java/com/axelor/apps/account/report/ITranslation.java:24
Invoice.priceExclTax,Prix HT,,java/com/axelor/apps/account/report/ITranslation.java:32
Invoice.productDescription,Produit/Description,,java/com/axelor/apps/account/report/ITranslation.java:28
Invoice.purchaseInvoiceNo,FACTURE FOURNISSEUR N°,,java/com/axelor/apps/account/report/ITranslation.java:44
Invoice.purchaseRefundNo,AVOIR FOURNISSEUR N°,,java/com/axelor/apps/account/report/ITranslation.java:45
Invoice.qtyUnit,Qté / Unité,,java/com/axelor/apps/account/report/ITranslation.java:30
Invoice.refundNo,AVOIR N°,,java/com/axelor/apps/account/report/ITranslation.java:47
Invoice.supplier,Fournisseur,,java/com/axelor/apps/account/report/ITranslation.java:27
Invoice.supplyRef,Réf. Fournisseur,,java/com/axelor/apps/account/report/ITranslation.java:43
Invoice.tax,TVA,,java/com/axelor/apps/account/report/ITranslation.java:29
Invoice.taxAmount,Montant T.V.A.,,java/com/axelor/apps/account/report/ITranslation.java:34
Invoice.totalExclTax,Total H.T.,,java/com/axelor/apps/account/report/ITranslation.java:35
Invoice.totalInclTax,Total T.T.C.,,java/com/axelor/apps/account/report/ITranslation.java:37
Invoice.totalTax,Total T.V.A.,,java/com/axelor/apps/account/report/ITranslation.java:36
Invoice.unitPrice,Prix unitaire,,java/com/axelor/apps/account/report/ITranslation.java:31
Invoiced Turnover This year vs Last year,CA facturé année N vs N-1,,"resources/views/portal.xml:80
resources/views/charts.xml:30"
